Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Program Type,Accelerator Duration (in weeks)
Leapfrog Ventures,https://www.crunchbase.com/organization/leapfrog-ventures,46,15,"Menlo Park, California, United States",They believe that the most successful company in any industry gains a disproportionately higher return for its shareholders.,Venture Capital,"Early Stage Venture, Late Stage Venture",24,,
IrishAngels,https://www.crunchbase.com/organization/irishangels,46,1,"Chicago, Illinois, United States",IrishAngels is a Chicago-based angel investing network affiliated with the University of Notre Dame.,Angel Group,"Early Stage Venture, Seed",32,,
Chattanooga Renaissance Fund,https://www.crunchbase.com/organization/chattanooga-renaissance-fund,46,4,"Chattanooga, Tennessee, United States",Chattanooga Renaissance Fund provides financial support and advisory services to entrepreneurs.,Angel Group,"Early Stage Venture, Seed",38,,
Selby Venture Partners,https://www.crunchbase.com/organization/selby-venture-partners,46,12,"Menlo Park, California, United States","Selby Ventures invests in businesses based on digital media, IT and communications, and sustainable technology.",Venture Capital,"Early Stage Venture, Late Stage Venture",24,,
Bowman Capital,https://www.crunchbase.com/organization/bowman-capital,46,28,"San Mateo, California, United States",Bowman Capital Management is an institutional investor specializing in both public and private technology growth companies.,Private Equity Firm,Late Stage Venture,40,,
Bolt,https://www.crunchbase.com/organization/bolt-io,45,,"San Francisco, California, United States",Early-stage venture capital firm focused on startups at the intersection of hardware and software,"Micro VC, Venture Capital","Early Stage Venture, Seed",36,,
Scrum Ventures,https://www.crunchbase.com/organization/scrum-ventures,45,4,"San Francisco, California, United States","Scrum Ventures invests in entrepreneurs who are creating startups related to commerce, health care, SaaS, video, and IoT in the U.S","Micro VC, Venture Capital","Early Stage Venture, Seed",33,,
Brookside Capital,https://www.crunchbase.com/organization/brookside-capital,45,25,"San Francisco, California, United States","They design, implement, and manage custom tailored portfolios of liquid assets for high net worth investors.",Investment Bank,"Early Stage Venture, Late Stage Venture, Private Equity",33,,
Lead Edge Capital,https://www.crunchbase.com/organization/lead-edge-capital,45,8,"New York, New York, United States",Lead Edge Capital is a growth equity and buyout firm focused on software and internet related companies.,Venture Capital,"Late Stage Venture, Private Equity",34,,
Dundee Venture Capital,https://www.crunchbase.com/organization/dundee-venture-capital,45,3,"Omaha, Nebraska, United States","Dundee Venture Capital invests between $250,000 to $1M in high-growth, early-stage Midwest technology startups.",Venture Capital,"Early Stage Venture, Seed",30,,
Paige Craig,https://www.crunchbase.com/person/paige-craig,45,12,"Los Angeles, California, United States","Paige Craig is a General Partner at Arena Ventures, a seed stage venture capital firm in Los Angeles. Before co-founding Arena in 2015, he w...",Individual/Angel,Seed,39,,
Rock Springs Capital,https://www.crunchbase.com/organization/rock-springs-capital,45,34,"Baltimore, Maryland, United States","Rock Springs Capital is an investment company located in Baltimore, Maryland. Its advisory activities include management services to",Venture Capital,"Early Stage Venture, Late Stage Venture",43,,
CRG L.P.,https://www.crunchbase.com/organization/the-capital-royalty-fund,45,22,"Houston, Texas, United States",CRG is a market pioneer and innovator in healthcare investing that focuses on intellectual property investments in,,,39,,
Actua Corporation,https://www.crunchbase.com/organization/icg-group,45,16,"Radnor, Pennsylvania, United States","Actua brings the power of the cloud to industry-specific vertical markets, including government, compliance, wealth management & insurance.",,,38,,
Amidzad Partners,https://www.crunchbase.com/organization/amidzad-partners,45,21,"Redwood City, California, United States",Amidzad is a seed and early-stage investment firm focused on investing in emerging growth companies on the West Coast.,Micro VC,"Early Stage Venture, Late Stage Venture, Seed",41,,
MedImmune Ventures,https://www.crunchbase.com/organization/medimmune-ventures,45,13,"Gaithersburg, Maryland, United States","MedImmune Ventures invests in early to late stage, public and private biotechnology companies.",Corporate Venture Capital,,25,,
Nashville Capital Network,https://www.crunchbase.com/organization/nashville-capital-network-investment-arm,45,7,"Nashville, Tennessee, United States","Nashville Capital Network, Investment Arm is a venture capital firm.",Angel Group,"Early Stage Venture, Late Stage Venture",26,,
Plymouth Growth Partners,https://www.crunchbase.com/organization/plymouth-venture-partners,45,8,"Ann Arbor, Michigan, United States",Plymouth Growth Partners is a venture capital firm that adds value to growth stage companies in the great lakes region.,Venture Capital,"Early Stage Venture, Late Stage Venture",23,,
WRF Capital,https://www.crunchbase.com/organization/wrf-capital,45,10,"Seattle, Washington, United States","The Seattle-based Washington Research Foundation supports groundbreaking technology in the life sciences, information technology and",Venture Capital,"Early Stage Venture, Late Stage Venture",30,,
North Hill Ventures,https://www.crunchbase.com/organization/north-hill-ventures,45,13,"Boston, Massachusetts, United States",North Hill Ventures specializes in early-stage financial technology and marketing technology companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",26,,
"Thomas, McNerney & Partners",https://www.crunchbase.com/organization/thomas-mcnerney-partners,45,14,"Stamford, Connecticut, United States","Thomas, McNerney & Partners is a health care venture capital firm with approximately $600 million under management focused on investing in",Venture Capital,"Early Stage Venture, Late Stage Venture",27,,
Castile Ventures,https://www.crunchbase.com/organization/castile-ventures,45,16,"Wellesley, Massachusetts, United States",Castile Ventures is an early-stage venture capital firm that provides financial banking and strategic guidance.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",27,,
NEST-TN,https://www.crunchbase.com/organization/nest-tn,45,2,"Tullahoma, Tennessee, United States","NEST-TN, L.L.C. (NEST-TN) is a seed and early-stage venture capital firm started in 2009 by Fran F. Marcum, Managing Partner of Marcum","Micro VC, Venture Capital",,24,,
Motorola Solutions,https://www.crunchbase.com/organization/motorola-solutions,44,19,"Schaumburg, Illinois, United States",Motorola Solutions creates mission-critical communication solutions and services for public safety and commercial customers.,,,41,,
InnoSpring Seed Fund,https://www.crunchbase.com/organization/innospring,44,5,"Santa Clara, California, United States","InnoSpring Seed Fund is technology seed fund backed by growth-stage venture funds including KPCB, IDG Capital, Legend Capital, NLVC etc.",Incubator,Seed,39,,
Access Industries,https://www.crunchbase.com/organization/access-industries,44,6,"New York, New York, United States",Access Industries is a privately held industrial group with long-term holdings worldwide.,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",32,,
Founders Circle Capital,https://www.crunchbase.com/organization/founders-circle-capital,44,10,"San Francisco, California, United States",Founders Circle is a founder liquidity firm that invests in the people who are building today's #breakawaygrowth companies.,Venture Capital,"Late Stage Venture, Secondary Market",26,,
Vaizra Investments,https://www.crunchbase.com/organization/vaizra-investments,44,6,"New York, New York, United States",Venture capital financing teams creating solutions for existing and emerging consumer needs.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",31,,
Sante Ventures,https://www.crunchbase.com/organization/sante-ventures,44,7,"Austin, Texas, United States",Santé Ventures is a life sciences venture capital firm that invests exclusively in early-stage companies.,Venture Capital,"Early Stage Venture, Late Stage Venture",26,,
Corigin Ventures,https://www.crunchbase.com/organization/corigin-ventures-2,44,2,"New York, New York, United States",Corigin Ventures is a New York based venture capital firm leading seedstage investments in the founders defining the future of daily living.,Venture Capital,"Early Stage Venture, Seed",36,,
March Capital Partners,https://www.crunchbase.com/organization/march-capital-partners,44,6,"Santa Monica, California, United States",March Capital Partners is a Santa Monica-based venture capital firm financing technology companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",32,,
Sandbox Industries,https://www.crunchbase.com/organization/sandbox-industries,44,7,"Chicago, Illinois, United States","Sandbox bridges the gap between startups and corporations in three ways: strategic venture funds, accelerators, and consulting services.",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",32,,
GSV Acceleration,https://www.crunchbase.com/organization/gsv-acceleration,44,2,"Chicago, Illinois, United States",Venture Capital Firm To Transform Learning and Work,Micro VC,"Early Stage Venture, Seed",26,,
Scott Belsky,https://www.crunchbase.com/person/scott-belsky,44,9,"New York, New York, United States","Scott Belsky is an entrepreneur, author, and investor. Scott co-founded Behance in 2006, and served as CEO until Adobe acquired Behance in 2...","Individual/Angel, Investment Partner",Seed,42,,
Boston Syndicates (BOSS),https://www.crunchbase.com/organization/boston-syndicates,44,5,"Boston, Massachusetts, United States",BOSS is a movement designed to turn successful founders into serial angel investors.,"Micro VC, Venture Capital",Seed,34,,
Novel TMT Ventures,https://www.crunchbase.com/organization/novel-tmt-ventures,44,2,"New York, New York, United States",Novel TMT Ventures Limited is a British Virgin Islands company which is wholly owned by Novel TMT Investments Limited.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",33,,
Karlin Ventures,https://www.crunchbase.com/organization/karlin-ventures,44,9,"Los Angeles, California, United States","Karlin Ventures, a California-based early-stage venture capital fund, invests in software, e-commerce, and advertising technology companies.",Venture Capital,"Early Stage Venture, Seed",35,,
Subtraction Capital,https://www.crunchbase.com/organization/subtraction-capital,44,8,"San Francisco, California, United States",Subtraction Capital is a venture capital fund focused on Seed and Series A stage investments.,Venture Capital,"Early Stage Venture, Seed",32,,
AFSquare,https://www.crunchbase.com/organization/afsquare,44,17,"Culver City, California, United States",The mission of AF Square is to discover companies whose business model disrupts the status quo.,,,43,,
RiverVest,https://www.crunchbase.com/organization/rivervest,44,11,"St Louis, Missouri, United States",RiverVest is a venture capital firm which focuses on identifying and shaping early stage life science companies to create shareholder value.,Venture Capital,"Early Stage Venture, Late Stage Venture",26,,
Michael Birch,https://www.crunchbase.com/person/michael-birch,44,9,"San Francisco, California, United States","Michael Birch is the Co-founder of Bebo and Birthday Alarm. Birch was raised in North London, England, went to Imperial College, London in C...",Individual/Angel,Seed,40,,
Alliance Technology Ventures,https://www.crunchbase.com/organization/alliance-technology-ventures,44,13,"Sarasota, Florida, United States","Alliance Technology Ventures is a U.S.-based investment firm focused on the semiconductor, communications, and life sciences industries.",Venture Capital,"Early Stage Venture, Late Stage Venture",25,,
Advanced Equities,https://www.crunchbase.com/organization/advanced-equities,44,15,"Chicago, Illinois, United States",Advanced Equities provides qualified high-net-worth individuals access to late-stage private equity offerings.,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity",24,,
MedVenture Associates,https://www.crunchbase.com/organization/medventures-associates,44,7,"Emeryville, California, United States",Identifies and invests in new medical technologies and the entrepreneurs developing them to create the next generation of medical practice.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",21,,
VentureTech Alliance,https://www.crunchbase.com/organization/venturetech-alliance,44,18,"San Jose, California, United States","TechAlliance empowers London and Southwestern Ontarioâ€™s technology sector. They prepare todayâ€™s entrepreneurs to launch new ventures,",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",24,,
Pantera Capital,https://www.crunchbase.com/organization/pantera-capital,43,3,"Menlo Park, California, United States","Pantera Capital is an investment firm focused exclusively on Bitcoin, other digital currencies and companies in the space.",Venture Capital,"Early Stage Venture, Seed",34,,
Celgene,https://www.crunchbase.com/organization/celgene,43,14,"Summit, New Jersey, United States","Celgene discovers, develops and commercializes innovative therapies to treat cancer and immune-inflammatory-related diseases.",,,35,,
Victory Park Capital,https://www.crunchbase.com/organization/victory-park-capital,43,4,"Chicago, Illinois, United States",Victory Park Capital is an investment firm that provides private debt and equity capital solutions to small and middle market companies.,Venture Capital,"Debt, Early Stage Venture, Private Equity",30,,
AngelList,https://www.crunchbase.com/organization/angellist,43,3,"San Francisco, California, United States","AngelList is a U.S. website for startups, angel investors, and job-seekers looking to work at startups.",,,40,,
The Impact Engine,https://www.crunchbase.com/organization/the-impact-engine,43,,"Chicago, Illinois, United States",Impact Engine is a venture firm that invests financial and human capital in early-stage.,"Micro VC, Venture Capital","Early Stage Venture, Seed",39,,
Bowery Capital,https://www.crunchbase.com/organization/bowery-capital,43,4,"New York, New York, United States",Early-stage VC fund investing in business software focused on helping its founders build the next generation of B2B market leaders.,"Micro VC, Venture Capital","Early Stage Venture, Seed",30,,
Romulus Capital,https://www.crunchbase.com/organization/romulus-capital,43,3,"Cambridge, Massachusetts, United States",Romulus Capital is an American seed- and early-stage venture capital fund that invests in technology companies.,Venture Capital,"Early Stage Venture, Seed",24,,
Lumia Capital,https://www.crunchbase.com/organization/lumia-capital,43,3,"San Francisco, California, United States",Expansion-stage VC partnering with leading tech companies in emerging markets and forward-thinking US companies to accelerate growth,Venture Capital,"Early Stage Venture, Late Stage Venture, Secondary Market",35,,
Silver Lake Partners,https://www.crunchbase.com/organization/silver-lake-partners,43,17,"Menlo Park, California, United States",Silver Lake is a private investment firm focused solely on making large-scale investments in leading technology companies.,Private Equity Firm,"Debt, Late Stage Venture, Private Equity",41,,
Perceptive Advisors,https://www.crunchbase.com/organization/perceptive-advisors,43,26,"New York, New York, United States",Perceptive Advisors is a privately owned hedge fund sponsor that finances the public equity markets across the globe.,Hedge Fund,"Early Stage Venture, Late Stage Venture, Private Equity",39,,
Invest Nebraska,https://www.crunchbase.com/organization/invest-nebraska,43,,"Lincoln, Nebraska, United States",Invest Nebraska is a venture capital firm providing financial and operational assistance for entrepreneurs and investors.,"Micro VC, Venture Capital","Early Stage Venture, Seed",38,,
ModusLink Global Solutions,https://www.crunchbase.com/organization/moduslink-global-solutions,43,16,"Waltham, Massachusetts, United States","ModusLink Global Solutions, Inc., through its subsidiaries, provides supply chain business process management solutions worldwide.",,,33,,
MassVentures,https://www.crunchbase.com/organization/massventures,43,13,"Boston, Massachusetts, United States",MassVentures is a venture capital firm focused on supporting Massachusetts-based startups to prosper in their businesses.,"Angel Group, Venture Capital","Early Stage Venture, Late Stage Venture, Seed",28,,
Ridgewood Capital,https://www.crunchbase.com/organization/ridgewood-capital,43,16,"Montvale, New Jersey, United States","Ridgewood Capital is a private equity firm located in Palo Alto, California and Ridgewood, New Jersey.",Private Equity Firm,"Early Stage Venture, Late Stage Venture",26,,
Highway 12 Ventures,https://www.crunchbase.com/organization/highway-12-ventures,43,9,"Boise, Idaho, United States","They invest in people, not companies. What kind of people? They place on bets on passionate people who are committed to the ideas and",Venture Capital,"Early Stage Venture, Late Stage Venture",24,,
Acadia Woods Partners,https://www.crunchbase.com/organization/acadia-woods-partners,43,8,"New York, New York, United States",Acadia Woods Partners is a New York based investment partnership that focuses primarily on early stage technology companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",31,,
Imlay Investments,https://www.crunchbase.com/organization/imlay-investments,43,11,"Atlanta, Georgia, United States",Imlay Investments is a Georgia-based private investment firm that funds early-stage technology companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",28,,
MentorTech Ventures,https://www.crunchbase.com/organization/mentortech-ventures,43,8,"Philadelphia, Pennsylvania, United States",MentorTech Ventures is a seed- and early-stage venture capital fund that invests in companies from the University of Pennsylvania ecosystem.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",25,,
Firelake Capital Management,https://www.crunchbase.com/organization/firelake-capital-management,43,9,"Palo Alto, California, United States","Firelake Capital Management is a fund with a hybrid portfolio of private and public investments in information technology, energy",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",22,,
SSM Partners,https://www.crunchbase.com/organization/ssm-partners,43,13,"Memphis, Tennessee, United States","Growth capital for great teams in Healthcare IT, Software, Internet, and Consumer",Private Equity Firm,"Early Stage Venture, Late Stage Venture",31,,
Radius Ventures,https://www.crunchbase.com/organization/radius-ventures,43,12,"New York, New York, United States",Radius Ventures is a New York-based venture capital company that invests in healthcare and life sciences companies.,Venture Capital,"Early Stage Venture, Late Stage Venture",22,,
Latterell Venture Partners,https://www.crunchbase.com/organization/latterell-venture-partners,43,12,"San Francisco, California, United States",Latterell Venture Partners is a venture capital firm specializing in startups and early stage healthcare companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",22,,
eBay,https://www.crunchbase.com/organization/ebay,42,12,"San Jose, California, United States",eBay is an online marketplace that connects a global network of buyers and sellers.,,,28,,
Flint Capital,https://www.crunchbase.com/organization/flint-capital,42,5,"Palo Alto, California, United States","Flint Capital is an international venture capital fund investing across Europe, Israel and US.",Venture Capital,"Early Stage Venture, Seed",34,,
Caffeinated Capital,https://www.crunchbase.com/organization/caffeinated-capital,42,,"San Francisco, California, United States",Caffeinated Capital is a San Francisco based venture capital firm founded by Raymond Tonsing.,Venture Capital,"Early Stage Venture, Seed",28,,
Foresite Capital,https://www.crunchbase.com/organization/foresite-capital,42,18,"San Francisco, California, United States",Foresite Capital provides catalytic capital to transformative healthcare companies at all stages.,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity",34,,
CapitalG,https://www.crunchbase.com/organization/google-capital,42,5,"Mountain View, California, United States",Google Capital is the growth capital fund financed by Google that invests for profit in growth stage technology companies.,Venture Capital,"Late Stage Venture, Private Equity",29,,
Graph Ventures,https://www.crunchbase.com/organization/graph-ventures,42,4,"Palo Alto, California, United States","Early stage investment group. With operations in San Francisco Bay area, New York, Brazil, Canada, Japan and Europe.","Micro VC, Venture Capital","Early Stage Venture, Seed",42,,
Cyan Banister,https://www.crunchbase.com/person/cyan-banister,42,6,"San Francisco, California, United States","Banister is a partner at Founders Fund, where she invests across sectors and stages with a particular interest in augmented reality, fertili...","Individual/Angel, Investment Partner",Seed,40,,
Mizuho Capital,https://www.crunchbase.com/organization/mizuho-capital,42,3,"New York, New York, United States",Mizuho Capital is a Japanese venture capital firm focused on information technology and biotechnology investments.,Investment Bank,"Early Stage Venture, Late Stage Venture",38,,
14W,https://www.crunchbase.com/organization/14-w,42,5,"New York, New York, United States",14W is a leading consumer-focused venture capital firm based in New York City.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",33,,
Mark Pincus,https://www.crunchbase.com/person/mark-pincus,42,13,"San Francisco, California, United States",Mark Pincus is founder and Executive Chairman of the Board. He has served as our Chairman from April 2007 to March 2016 and our Executive Ch...,Individual/Angel,Seed,39,,
Edward Lando,https://www.crunchbase.com/person/edward-lando,42,2,"San Francisco, California, United States",Early investor in 80+ companies ,Individual/Angel,Seed,40,,
Plug and Play Insurtech,https://www.crunchbase.com/organization/plug-and-play-insurance-accelerator,42,,"Sunnyvale, California, United States","Deal flow sessions, themed workshops, and face-to-face interaction drive engagement between financial powerhouses and young upstarts. T",Accelerator,Seed,42,,12
Wellington Financial,https://www.crunchbase.com/organization/wellington-financial,42,18,"San Francisco, California, United States","Wellington Financial LP is a privately-held specialty finance firm providing term, venture and amortizing loans up to $40 million",Venture Capital,Debt,41,,
Walter Winshall,https://www.crunchbase.com/person/walter-winshall,42,7,"Boston, Massachusetts, United States","Walter A. Winshall serves as a Principal in Collaborative Seed and Growth Partners, LLC, an investment firm specializing in the commercializ...",Individual/Angel,Seed,35,,
K5 Ventures,https://www.crunchbase.com/organization/k5launch,42,7,"Newport Beach, California, United States","K5 Ventures is an American early-stage funding platform that hosts, mentors, accelerates, and invests in technology-driven businesses.",Accelerator,"Crowdfunding, Early Stage Venture, Private Equity, Seed",39,On-Site,24
Lighthouse Capital Partners,https://www.crunchbase.com/organization/lighthouse-capital-partners,42,20,"Menlo Park, California, United States","Lighthouse Capital Partners is the leading venture debt firm, providing capital to early- and growth-stage technology, life science and",Incubator,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",34,,
Ascend Venture Group,https://www.crunchbase.com/organization/ascend-venture-group,42,13,"New York, New York, United States","Ascend Venture Group is a New York based venture capital group. Ascend Venture Group, LLC is a private investment management firm founded",Venture Capital,"Early Stage Venture, Late Stage Venture",27,,
"CNF Investments, LLC",https://www.crunchbase.com/organization/cnf-investments,42,10,"Bethesda, Maryland, United States","CNF is the Clark Enterprises, Inc. affiliate that actively invests in venture capital and private equity.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",29,,
Panorama Capital,https://www.crunchbase.com/organization/panorama-capital,42,17,"Campbell, California, United States",Panorama Capital invests in passionate entrepreneurs building leading companies in life sciences and technology.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",27,,
Van Wagoner Capital Management,https://www.crunchbase.com/organization/van-wagoner-capital-management,42,20,"San Francisco, California, United States",Van Wagoner Capital Management Inc. is an employee owned investment manager.,Venture Capital,Late Stage Venture,28,,
Mid-Atlantic Venture Funds,https://www.crunchbase.com/organization/mid-atlantic-venture-funds,42,9,"Bethlehem, Pennsylvania, United States",Mid-Atlantic Venture Funds is a Pennsylvania-based principal investment firm focused on purchasing equity securities of growing businesses.,Venture Capital,"Early Stage Venture, Late Stage Venture",25,,
XRC Labs,https://www.crunchbase.com/organization/xrclabs,41,,"New York, New York, United States",XRC Labs is an innovation accelerator for the next generation of disruptors in the retail and consumer goods sectors.,Accelerator,"Debt, Early Stage Venture, Seed",40,On-Site,14
Sun Microsystems,https://www.crunchbase.com/organization/sun-microsystems,41,26,"Santa Clara, California, United States","Sun Microsystems is a multinational vendor of computers, computer software and hardware, and information technology services.",,,38,,
Brooklyn Bridge Ventures,https://www.crunchbase.com/organization/brooklyn-bridge-ventures,41,4,"Brooklyn, New York, United States","Brooklyn Bridge Ventures is a seed stage investor. That typically means pre-revenue, pre-Powerpoint, pre-business plan, and even","Micro VC, Venture Capital","Early Stage Venture, Seed",37,,
Soma Capital,https://www.crunchbase.com/organization/soma-capital,41,3,"San Francisco, California, United States","We invest in passionate founders with big ideas. We're a fund that was built by entrepreneurs, for entrepreneurs.","Micro VC, Venture Capital","Early Stage Venture, Seed",40,,
Presence Capital,https://www.crunchbase.com/organization/presence-capital,41,1,"San Francisco, California, United States",Presence Capital is an investment firm that finances virtual reality and augmented reality startups.,"Micro VC, Venture Capital","Early Stage Venture, Seed",38,,
IFC Venture Capital Group,https://www.crunchbase.com/organization/ifc-venture-capital-group,41,3,"Washington, District of Columbia, United States",IFC's Venture Capital group invests in ventures and growth stage companies.,Venture Capital,"Early Stage Venture, Seed",32,,
K9 Ventures,https://www.crunchbase.com/organization/k9-ventures,41,9,"Palo Alto, California, United States","K9 Ventures is a technology-focused micro VC fund based in Palo Alto, California.",Micro VC,"Early Stage Venture, Seed",25,,
Employee Stock Option Fund (ESO Fund),https://www.crunchbase.com/organization/eso-fund,41,31,"San Mateo, California, United States",ESO Fund provides funding for employees of venture-backed companies to absorb the financial risk of exercising stock options.,Secondary Purchaser,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Secondary Market",35,,
SURGE Accelerator,https://www.crunchbase.com/organization/surge-accelerator,41,2,"Houston, Texas, United States","SURGE, a seed fund and mentor-driven accelerator, invests in and enables entrepreneurs to solve the world's energy problems.",Accelerator,"Early Stage Venture, Seed",36,,
ZenStone Venture Capital,https://www.crunchbase.com/organization/zenstone-venture-capital,41,4,"Milpitas, California, United States",ZenStone Venture Capital is a Silicon Valley-based venture capital firm founded to bridge Asian capital and global opportunities.,Venture Capital,"Early Stage Venture, Seed",37,,
TYLT Ventures,https://www.crunchbase.com/organization/tylt-lab,41,3,"Santa Monica, California, United States","TYLT Ventures is focused on identifying, capitalizing, and building high-growth companies.",Micro VC,Seed,32,,
Broadview Ventures,https://www.crunchbase.com/organization/broadview-ventures,41,5,"Boston, Massachusetts, United States",Broadview Ventures invests in businesses that focus on the development of technology solutions in cardiovascular and neurovascular diseases.,Venture Capital,"Early Stage Venture, Private Equity, Seed",34,,
Slater Technology Fund,https://www.crunchbase.com/organization/slater-technology-fund,41,3,"Providence, Rhode Island, United States",Slater Technology Fund is a venture capital firm investing in technology-based startup companies across multiple sectors.,"Government Office, Incubator","Early Stage Venture, Late Stage Venture, Seed",31,,
Mousse Partners,https://www.crunchbase.com/organization/mousse-partners,41,6,"New York, New York, United States",Mousse Partners is a venture capital firm.,Family Investment Office,"Debt, Early Stage Venture, Late Stage Venture, Seed",30,,
Rand Capital,https://www.crunchbase.com/organization/rand-capital,41,5,"Buffalo, New York, United States",Rand Capital makes venture capital investments in unique small-to medium-sized companies typically in New York and surrounding states.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",25,,
Masthead Venture Partners,https://www.crunchbase.com/organization/masthead-venture-partners,41,7,"Cambridge, Massachusetts, United States",Masthead's partners possess successful track records creating long-term value in early-stage companies.,Venture Capital,"Early Stage Venture, Late Stage Venture",18,,
Solstice Capital,https://www.crunchbase.com/organization/solstice-capital,41,16,"Salem, Massachusetts, United States",Solstice Capital seeks superior venture capital returns for its limited partners through investments in seed- and early-stage companies in,Venture Capital,"Early Stage Venture, Late Stage Venture",20,,
Kelly Perdew,https://www.crunchbase.com/person/kelly-perdew,40,11,"Los Angeles, California, United States",Kelly is the Managing General Partner of Moonshots Capital – an early stage angel syndicate that invests in early stage technology companies...,"Individual/Angel, Investment Partner","Early Stage Venture, Seed",37,,
BlackRock,https://www.crunchbase.com/organization/blackrock,40,10,"New York, New York, United States","BlackRock is an investment company that offers its services to institutions, intermediaries, foundations, and individual investors.",Investment Bank,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity",33,,
Elevate Ventures,https://www.crunchbase.com/organization/elevate-ventures,40,1,"Indianapolis, Indiana, United States","Elevate Ventures nurtures and develops emerging and existing high-potential businesses into high-performing, Indiana-based companies.",Angel Group,"Early Stage Venture, Seed",35,,
Sands Capital Ventures,https://www.crunchbase.com/organization/sands-capital-ventures,40,6,"Arlington, Virginia, United States",Sands Capital Ventures is a venture capital and growth equity firm that invests in growing companies of all stages.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",28,,
Astia Angels,https://www.crunchbase.com/organization/astia-angels,40,4,"San Francisco, California, United States",Astia Angels is a global network of both female and male angel investors that invest in high growth companies.,Angel Group,"Debt, Early Stage Venture, Late Stage Venture, Seed",30,,
BIP Capital,https://www.crunchbase.com/organization/buckhead-investment-partners,40,4,"Atlanta, Georgia, United States",Based in Atlanta. Venture Capital and Private Equity Investments in the Southeastern U.S.,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",23,,
Pamlico Capital,https://www.crunchbase.com/organization/pamlico-capital,40,17,"Charlotte, North Carolina, United States",Pamlico Capital seeks equity and buyout investments in businesses.,Private Equity Firm,Private Equity,36,,
New York Venture Partners,https://www.crunchbase.com/organization/new-york-venture-partners,40,8,"New York, New York, United States",New York Venture Partners is a seed stage venture capital firm dedicated to the entrepreneur.,"Micro VC, Venture Capital",Seed,36,,
Elad Gil,https://www.crunchbase.com/person/elad-gil,40,6,"San Francisco, California, United States","Serial entrepreneur, operating executive, and investor or advisor to private companies including AirBnB, Pinterest, Square, Stripe. Currentl...",Individual/Angel,Seed,38,,
Allos Ventures,https://www.crunchbase.com/organization/allos-ventures,40,3,"Carmel, Indiana, United States",Investors in early-stage B2B software and businses services companies in the Midwest.,Venture Capital,"Early Stage Venture, Late Stage Venture",18,,
Peninsula Ventures,https://www.crunchbase.com/organization/peninsula-equity-partners,40,10,"San Mateo, California, United States",Peninsula Ventures is an early-stage venture capital firm that funds technology companies in the United States.,Venture Capital,"Early Stage Venture, Late Stage Venture",29,,
Been There,https://www.crunchbase.com/organization/been-there,40,4,"Beverly Hills, California, United States",Been There is an investment firm.,Venture Capital,,39,,
IDEA Fund Partners,https://www.crunchbase.com/organization/idea-fund-partners,40,6,"Durham, North Carolina, United States",IDEA Fund Partners provides seed and early stage equity funding along with company building expertise to technologies in the Southeast.,Venture Capital,"Early Stage Venture, Seed",25,,
BDC Capital Corporation,https://www.crunchbase.com/organization/bdc-capital-corporation,40,4,"Wakefield, Massachusetts, United States",BDC Capital has been recognized locally and nationally as a leader.,Venture Debt,,39,,
D. E. Shaw & Co.,https://www.crunchbase.com/organization/d-e-shaw-co,40,12,"New York, New York, United States",The D. E. Shaw group is a global investment and technology development firm.,Private Equity Firm,"Early Stage Venture, Late Stage Venture",28,,
Fortify Ventures,https://www.crunchbase.com/organization/fortify-ventures,40,5,"Washington, District of Columbia, United States",Fortify Ventures is a technology investment fund providing portfolio companies with the community and the capital they need to grow.,"Micro VC, Venture Capital","Early Stage Venture, Seed",32,,
